,company/brand,stage,amount,headquarter,what_it_does,year_collected,investor,sector,founded,founders
0,TheCollegeFever,Seed funding,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,Undisclosed,Marketing,2018.0,
1,Happy Cow Dairy,Seed funding,584709.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,Undisclosed,Agriculture,2018.0,
2,MyLoanCare,Series A,950153.0,Gurugram,Leading Online Loans Marketplace in India,2018,Undisclosed,Marketing,2018.0,
3,PayMe India,Seed funding,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,Undisclosed,FinTech,2018.0,
4,Eunimart,Seed funding,567354.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,Undisclosed,Consumer Services,2018.0,
5,Hasura,Seed funding,1600000.0,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,Undisclosed,IT & Technology,2018.0,
6,Tripshelf,Seed funding,233883.0,Kalkaji,Tripshelf is an online market place for holiday packages.,2018,Undisclosed,Hospitality,2018.0,
7,Hyperdata.IO,Seed funding,730887.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,Undisclosed,Marketing,2018.0,
8,Freightwalla,Seed funding,567354.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,Undisclosed,IT & Technology,2018.0,
9,Microchip Payments,Seed funding,567354.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018,Undisclosed,Finance,2018.0,
10,BizCrum Infotech Pvt. Ltd.,Seed funding,567354.0,Delhi,Building Transactionary B2B Marketplaces,2018,Undisclosed,Consumer Services,2018.0,
11,Emojifi,Seed funding,567354.0,Bangalore,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,Undisclosed,IT & Technology,2018.0,
12,Flock,Seed funding,567354.0,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,Undisclosed,Media/Entertainment,2018.0,
13,Freshboxx,Seed funding,567354.0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,Undisclosed,Consumables,2018.0,
14,Wide Mobility Mechatronics,Seed funding,567354.0,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,Undisclosed,Automotive,2018.0,
15,Pitstop,Seed funding,1461774.0,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,Undisclosed,Automotive,2018.0,
16,Mihuru,Seed funding,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,Undisclosed,Logistics,2018.0,
17,Fyle,Seed funding,1100000.0,Bangalore,Fyle is an intelligent expense management platform for enterprises.,2018,Undisclosed,Logistics,2018.0,
18,AppWharf,Seed funding,567354.0,Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,Undisclosed,IT & Technology,2018.0,
19,Antariksh Waste Ventures Pvt ltd,Seed funding,7308.0,Chennai,Waste Management for Smart Cities,2018,Undisclosed,IT & Technology,2018.0,
20,Cogoport,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,Undisclosed,Logistics,2018.0,
21,PaisaDukan,Seed funding,650000.0,Mumbai,A P2P lending marketplace platform,2018,Undisclosed,Finance,2018.0,
22,Sleepy Owl Coffee,Seed funding,511621.0,Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,Undisclosed,Consumables,2018.0,
23,BlueJack,Seed funding,935535.0,Delhi,Delhi-based online used vehicles marketplace.,2018,Undisclosed,Automotive,2018.0,
24,PregBuddy,Seed funding,567354.0,Bangalore,PregBuddy is a smart connected care platform for expecting mothers.,2018,Undisclosed,Automotive,2018.0,
25,AgNext Technologies,Series A,567354.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,Undisclosed,Agriculture,2018.0,
26,Pando,Seed funding,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,Undisclosed,Logistics,2018.0,
27,Mintifi,Seed funding,2000000.0,Mumbai,Online lending startup based in Mumbai.,2018,Undisclosed,Finance,2018.0,
28,Carcrew,Seed funding,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018,Undisclosed,Automotive,2018.0,
29,NicheAI,Seed funding,567354.0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,Undisclosed,IT & Technology,2018.0,
30,Chariot Tech,Seed funding,292354.0,Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,Undisclosed,IT & Technology,2018.0,
31,Ideal Insurance Brokers/ 121Policy.com,Seed funding,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,Undisclosed,Finance,2018.0,
32,Loanzen,Seed funding,567354.0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,Undisclosed,Finance,2018.0,
33,Mojro Technologies,Seed funding,650000.0,Bangalore,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,Undisclosed,Logistics,2018.0,
34,Elemential,Seed funding,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,Undisclosed,IT & Technology,2018.0,
35,Loadshare,Series A,5000000.0,Bangalore,LoadShare is India’s fastest growing logistics company,2018,Undisclosed,Automotive,2018.0,
36,Yumlane,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,Undisclosed,Consumables,2018.0,
37,Kriger Campus,Seed funding,438532.0,Delhi,A Education Start Up.,2018,Undisclosed,Education,2018.0,
38,Pipa+Bella,Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,Undisclosed,Consumer Services,2018.0,
39,Kaleidofin,Seed funding,2800000.0,Chennai,A fintech platform.,2018,Undisclosed,Finance,2018.0,
40,Chakr Innovation,Seed funding,567354.0,Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,Undisclosed,Energy,2018.0,
41,IndigoLearn,Seed funding,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,Undisclosed,Education,2018.0,
42,UClean,Seed funding,584709.0,India,UClean is a tech enabled laundry service provider.,2018,Undisclosed,Energy,2018.0,
